"Artikelnummer";"Artikelname";"Verfügbar";
"010100";"Olimp Whey Protein Complex 100% - 700g";"17,00";
"010100-010";"Olimp Whey Protein Complex 100% - 700g Schokolade";"10,00";
"010100-011";"Olimp Whey Protein Complex 100% - 700g Vanille";"0,00";
"010100-012";"Olimp Whey Protein Complex 100% - 700g Erdbeere";"0,00";
"010100-013";"Olimp Whey Protein Complex 100% - 700g Kokos";"0,00";
"010100-014";"Olimp Whey Protein Complex 100% - 700g Ice Coffee";"0,00";
"010100-015";"Olimp Whey Protein Complex 100% - 700g Tiramisu";"0,00";
"010100-016";"Olimp Whey Protein Complex 100% - 700g Pistazie";"0,00";
"010200";"Olimp Whey Protein Complex 100% - 2,27kg";"8,00";
"010200-001";"Olimp Whey Protein Complex 100% - 2,27kg Erdbeere";"1,00";
"010200-002";"Olimp Whey Protein Complex 100% - 2,27kg Schoko";"1,00";
"010200-003";"Olimp Whey Protein Complex 100% - 2,27kg Vanille";"0,00";
"010200-004";"Olimp Whey Protein Complex 100% - 2,27kg Kokos";"1,00";
"010200-005";"Olimp Whey Protein Complex 100% - 2,27kg Ice Coffee";"2,00";
"010200-006";"Olimp Whey Protein Complex 100% - 2,27kg Tiramisu";"0,00";
"010300";"Olimp Mega Strong Protein - 700g";"0,00";
"010301";"Olimp Mega Strong Protein - 700g Erdbeere";"0,00";
"010302";"Olimp Mega Strong Protein - 700g Schoko";"0,00";
"010303";"Olimp Mega Strong Protein - 700g Vanille";"0,00";
"010400";"Olimp Mega Strong Protein - 2,2kg";"0,00";
"010401";"Olimp Mega Strong Protein - 2,2kg Erdbeere";"0,00";
"010402";"Olimp Mega Strong Protein - 2,2kg Schoko";"0,00";
"010403";"Olimp Mega Strong Protein - 2,2kg Vanille";"0,00";
"010500";"Olimp Gain Bolic 6000 - 1kg";"40,00";
"010501";"Olimp Gain Bolic 6000 - 1kg Schoko";"0,00";
"010502";"Olimp Gain Bolic 6000 - 1kg Vanille";"0,00";
"010503";"Olimp Gain Bolic 6000 - 1kg Erdbeere";"10,00";
"010700";"Olimp Gainerator - 1kg";"0,00";
"010701";"Olimp Gainerator - 1kg Schoko";"0,00";
"010702";"Olimp Gainerator - 1kg Vanille";"0,00";
"010703";"Olimp Gainerator - 1kg Erdbeere";"0,00";
"010800";"Olimp Gainerator - 2,7kg";"0,00";
"010801";"Olimp Gainerator - 2,7kg Schoko";"0,00";
"010802";"Olimp Gainerator - 2,7kg Vanille";"0,00";
"010803";"Olimp Gainerator - 2,7kg Erdbeere";"0,00";
"010900";"Olimp Profi Mass - 1kg";"51,00";
"010901";"Olimp Profi Mass - 1kg Schoko";"16,00";
"010902";"Olimp Profi Mass - 1kg Vanille";"14,00";
"010903";"Olimp Profi Mass - 1kg Erdbeere";"16,00";
"010904";"Olimp Profi Mass - 1kg Banane";"1,00";
"010905";"Olimp Profi Mass - 1kg Tiramisu";"4,00";
"011000";"Olimp Profi Mass - 2,5kg";"13,00";
"011001";"Olimp Profi Mass - 2,5kg Schoko";"7,00";
"011002";"Olimp Profi Mass - 2,5kg Vanille";"3,00";
"011003";"Olimp Profi Mass - 2,5kg Erdbeere";"1,00";
"011004";"Olimp Profi Mass - 2,5kg Banane";"2,00";
"011005";"Olimp Profi Mass - 2,5kg Tiramisu";"0,00";
