"Artikelnummer";"Artikelname";"Kind Artikelnummer";"Kind Artikelname";"Variationsname 1";"Variationswertname 1";
"120400";"Mutant Mass - 2,2kg";"120400-0001";"Mutant Mass - 2,2kg Chocolate";"Geschmack";"Chocolate";
"120400";"Mutant Mass - 2,2kg";"120400-0002";"Mutant Mass - 2,2kg Cookies & Cream";"Geschmack";"Cookies & Cream";
"120400";"Mutant Mass - 2,2kg";"120400-0003";"Mutant Mass - 2,2kg Strawberry/Banana";"Geschmack";"Strawberry/Banana";
"120400";"Mutant Mass - 2,2kg";"120400-0004";"Mutant Mass - 2,2kg Vanilla";"Geschmack";"Vanilla";
"120400";"Mutant Mass - 2,2kg";"120400-007";"Mutant Mass - 2,2kg Chocolate Fudge Brownie";"Geschmack";"Chocolate Fudge Brownie";
"120400";"Mutant Mass - 2,2kg";"120400-008";"Mutant Mass - 2,2kg Coconut Dream";"Geschmack";"Coconut Dream";
"120400";"Mutant Mass - 2,2kg";"120400-009";"Mutant Mass - 2,2kg Chocolate Hazelnut";"Geschmack";"Chocolate Hazelnut";
"120400";"Mutant Mass - 2,2kg";"120400-010";"Mutant Mass - 2,2kg Peanutbutter Chocolate";"Geschmack";"Peanutbutter Chocolate";
"120400";"Mutant Mass - 2,2kg";"120400-011";"Mutant Mass - 2,2kg Triple Chocolate";"Geschmack";"Triple Chocolate";
"120400";"Mutant Mass - 2,2kg";"120400-012";"Mutant Mass - 2,2kg Vanilla Ice Cream";"Geschmack";"Vanilla Ice Cream";
"280420";"VPX BANG RTD Energy Drink - (6x500ml)";"280420-001";"VPX BANG RTD Energy Drink - (6x500ml) Lemon Drop";"Geschmack";"Lemon Drop";
"280420";"VPX BANG RTD Energy Drink - (6x500ml)";"280420-002";"VPX BANG RTD Energy Drink - (6x500ml) Star Blast";"Geschmack";"Star Blast";
"280420";"VPX BANG RTD Energy Drink - (6x500ml)";"280420-003";"VPX BANG RTD Energy Drink - (6x500ml) Cherry Vanilla";"Geschmack";"Cherry Vanilla";
"280420";"VPX BANG RTD Energy Drink - (6x500ml)";"280420-004";"VPX BANG RTD Energy Drink - (6x500ml) Citrus Twist";"Geschmack";"Citrus Twist";
"280420";"VPX BANG RTD Energy Drink - (6x500ml)";"280420-005";"VPX BANG RTD Energy Drink - (6x500ml) Peach Mango";"Geschmack";"Peach Mango";
"280420";"VPX BANG RTD Energy Drink - (6x500ml)";"280420-006";"VPX BANG RTD Energy Drink - (6x500ml) Cherry Blade Lemonade";"Geschmack";"Cherry Blade Lemonade";
"360003";"Cellucor C4 ULTIMATE 40 Serv. 880g";"360003-001";"Cellucor C4 ULTIMATE 40 Serv. 880g Blue Raspberry";"Geschmack";"Blue Raspberry";
"360003";"Cellucor C4 ULTIMATE 40 Serv. 880g";"360003-002";"Cellucor C4 ULTIMATE 40 Serv. 880g Orange Mango";"Geschmack";"Orange Mango";
"360003";"Cellucor C4 ULTIMATE 40 Serv. 880g";"360003-003";"Cellucor C4 ULTIMATE 40 Serv. 880g Strawberry Watermelon";"Geschmack";"Strawberry Watermelon";
"960003";"Megabol Gainer 737 500g";"960003-001";"Megabol Gainer 737 500g Raspberry";"Geschmack";"Raspberry";
"960003";"Megabol Gainer 737 500g";"960003-002";"Megabol Gainer 737 500g Toffi";"Geschmack";"Toffi";
"960003";"Megabol Gainer 737 500g";"960003-003";"Megabol Gainer 737 500g Strawberry";"Geschmack";"Strawberry";
"960003";"Megabol Gainer 737 500g";"960003-004";"Megabol Gainer 737 500g Vanilla Bisquit";"Geschmack";"Vanilla Bisquit";
"960003";"Megabol Gainer 737 500g";"960003-005";"Megabol Gainer 737 500g Cappucino";"Geschmack";"Cappucino";
"193002";"FitnFood Peanut Butter 1000g";"193002-001";"FitnFood Peanut Butter 1000g Smooth";"Geschmack";"Smooth";
"193002";"FitnFood Peanut Butter 1000g";"193002-002";"FitnFood Peanut Butter 1000g Crunchy";"Geschmack";"Crunchy";
"320010";"Scitec Anabolic Iso+Hydro 920g";"320010-001";"Scitec Anabolic Iso+Hydro 920g Vanille";"Geschmack";"Vanille";
"320010";"Scitec Anabolic Iso+Hydro 920g";"320010-002";"Scitec Anabolic Iso+Hydro 920g Schoko";"Geschmack";"Schoko";
"320010";"Scitec Anabolic Iso+Hydro 920g";"320010-003";"Scitec Anabolic Iso+Hydro 920g Erdbeere";"Geschmack";"Erdbeere";
"320010";"Scitec Anabolic Iso+Hydro 920g";"320010-004";"Scitec Anabolic Iso+Hydro 920g Sahnekeks";"Geschmack";"Sahnekeks";
"950002";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml";"950002-001";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml Exotic";"Geschmack";"Exotic";
"950002";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml";"950002-002";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml Forest Fruits";"Geschmack";"Forest Fruits";
"950002";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml";"950002-003";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml Grapefruit Lemon-Lime";"Geschmack";"Grapefruit";
"950002";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml";"950002-004";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml Orange Cherry";"Geschmack";"Orange";
"950002";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml";"950002-005";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml Tangerine";"Geschmack";"Tangerine";
"950002";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml";"950002-006";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml Mango";"Geschmack";"Mango";
"950002";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml";"950002-007";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml Passionfruit";"Geschmack";"Passionfruit";
"950002";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml";"950002-008";"FA Nutrition Xtreme Napalm Igniter Shot - 24x120ml Yuzu";"Geschmack";"Yuzu";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-001";"Nutrend 100% Whey Protein 1000g Vanille";"Geschmack";"Vanille";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-002";"Nutrend 100% Whey Protein 1000g Schoko Brownie";"Geschmack";"Schoko Brownie";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-003";"Nutrend 100% Whey Protein 1000g Schoko Kokos";"Geschmack";"Schoko Kokos";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-004";"Nutrend 100% Whey Protein 1000g Schokolade Kakao";"Geschmack";"Schokolade Kakao";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-005";"Nutrend 100% Whey Protein 1000g Cookies & Cream";"Geschmack";"Cookies & Cream";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-006";"Nutrend 100% Whey Protein 1000g Weiße Schokolade Kokos";"Geschmack";"Weiße Schokolade Kokos";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-007";"Nutrend 100% Whey Protein 1000g Banane Erdbeere";"Geschmack";"Banane Erdbeere";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-008";"Nutrend 100% Whey Protein 1000g Ananas Kokos";"Geschmack";"Ananas Kokos";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-009";"Nutrend 100% Whey Protein 1000g Schoko Hazelnuss";"Geschmack";"Schoko Hazelnuss";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-010";"Nutrend 100% Whey Protein 1000g Erdbeere";"Geschmack";"Erdbeere";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-011";"Nutrend 100% Whey Protein 1000g Karamell Latte";"Geschmack";"Karamell Latte";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-012";"Nutrend 100% Whey Protein 1000g Kiwi Banane";"Geschmack";"Kiwi Banane";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-013";"Nutrend 100% Whey Protein 1000g Eiskaffee";"Geschmack";"Eiskaffee";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-014";"Nutrend 100% Whey Protein 1000g Himbeere";"Geschmack";"Himbeere";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-015";"Nutrend 100% Whey Protein 1000g Mango Vanille";"Geschmack";"Mango Vanille";
"1110018";"Nutrend 100% Whey Protein 1000g";"1110018-016";"Nutrend 100% Whey Protein 1000g Orange";"Geschmack";"Orange";
"980801";"Muscle Moose Plant Party 900g";"980801-001";"Muscle Moose Plant Party 900g Berry";"Geschmack";"Berry";
"980801";"Muscle Moose Plant Party 900g";"980801-002";"Muscle Moose Plant Party 900g Chocolate";"Geschmack";"Chocolate";
"980801";"Muscle Moose Plant Party 900g";"980801-003";"Muscle Moose Plant Party 900g Vanilla Cookie";"Geschmack";"Vanilla Cookie";
"1750019";"Applied Nutrition BCAA Hydrate 450g";"1750019-001";"Applied Nutrition BCAA Hydrate 450g Green Apple";"Geschmack";"Green Apple";
"45003";"Activlab Rice Carbs&Protein 1000g";"45003-001";"Activlab Rice Carbs&Protein 1000g Apfel Zimt";"Carbs";"Apfel Zimt";
"183009";"Genius Nutrition Warcry PWO Drink rot (24 x 330 ml)";"183009-001";"Genius Nutrition PWO Drink rot (24 x 330 ml) Cherry Cinnamon";"Geschmack";"Cherry Cinnamon";
"204009";"BAD ASS MASS - 3kg";"204009-001";"BAD ASS MASS - 3kg Chocolate";"Geschmack";"Chocolate";
"204009";"BAD ASS MASS - 3kg";"204009-002";"BAD ASS MASS - 3kg Vanilla";"Geschmack";"Vanilla";
"11331300";"Blackline 2.0 VEGGY + VEGAN PROTEIN 900G";"11331300-01";"Blackline 2.0 VEGGY + VEGAN PROTEIN 900G Chocolate Brownie";"Geschmack";"Chocolate Brownie";
"11331300";"Blackline 2.0 VEGGY + VEGAN PROTEIN 900G";"11331300-02";"Blackline 2.0 VEGGY + VEGAN PROTEIN 900G Vanilla Biscuit";"Geschmack";"Vanilla Biskuit";
"11331300";"Blackline 2.0 VEGGY + VEGAN PROTEIN 900G";"11331300-003";"Blackline 2.0 VEGGY + VEGAN PROTEIN 900G Vanille Himbeere";"Geschmack";"Vanille Himbeere";
"11331300";"Blackline 2.0 VEGGY + VEGAN PROTEIN 900G";"11331300-004";"Blackline 2.0 VEGGY + VEGAN PROTEIN 900G Banane Schoko";"Geschmack";"Banane Schoko";
"11331300";"Blackline 2.0 VEGGY + VEGAN PROTEIN 900G";"11331300-005";"Blackline 2.0 VEGGY + VEGAN PROTEIN 900G Salty Peanut";"Geschmack";"Salty Peanut";
"600200";"Blender Bottle Sportmixer 820ml";"600200-0001";"Blender Bottle Sportmixer 820ml Blau";"Farbe";"Blau";
"600200";"Blender Bottle Sportmixer 820ml";"600200-0002";"Blender Bottle Sportmixer 820ml Grün";"Farbe";"Grün";
"600200";"Blender Bottle Sportmixer 820ml";"600200-0004";"Blender Bottle Sportmixer 820ml Orange";"Farbe";"Orange";
"600200";"Blender Bottle Sportmixer 820ml";"600200-0005";"Blender Bottle Sportmixer 820ml Rot";"Farbe";"Rot";
"600200";"Blender Bottle Sportmixer 820ml";"600200-0003";"Blender Bottle Sportmixer 820ml Pink";"Farbe";"Pink";
"600200";"Blender Bottle Sportmixer 820ml";"600200-006";"Blender Bottle Sportmixer 820ml Aqua";"Farbe";"Aqua";
"600200";"Blender Bottle Sportmixer 820ml";"600200-007";"Blender Bottle Sportmixer 820ml Coral";"Farbe";"Coral";
"600200";"Blender Bottle Sportmixer 820ml";"600200-008";"Blender Bottle Sportmixer 820ml Navy";"Farbe";"Navy";
"600200";"Blender Bottle Sportmixer 820ml";"600200-009";"Blender Bottle Sportmixer 820ml Pebble Grey";"Farbe";"Pebble Grey";
"600200";"Blender Bottle Sportmixer 820ml";"600200-010";"Blender Bottle Sportmixer 820ml Plum";"Farbe";"Plum";
"600200";"Blender Bottle Sportmixer 820ml";"600200-011";"Blender Bottle Sportmixer 820ml Teal";"Farbe";"Teal";
"600200";"Blender Bottle Sportmixer 820ml";"600200-012";"Blender Bottle Sportmixer 820ml Cyan";"Farbe";"Cyan";
"600200";"Blender Bottle Sportmixer 820ml";"600200-013";"Blender Bottle Sportmixer 820ml Moss Green";"Farbe";"Moss Green";
"600200";"Blender Bottle Sportmixer 820ml";"600200-014";"Blender Bottle Sportmixer 820ml White";"Farbe";"White";
"1812001";"Universal T-Shirt ""Universal 77"" Gelb";"1812001-001";"Universal T-Shirt ""Universal 77"" Gelb XL";"Größe";"XL";
"1812001";"Universal T-Shirt ""Universal 77"" Gelb";"1812001-002";"Universal T-Shirt ""Universal 77"" Gelb XXL";"Größe";"XXL";
"1812001";"Universal T-Shirt ""Universal 77"" Gelb";"1812001-003";"Universal T-Shirt ""Universal 77"" Gelb M";"Größe";"M";
